filename,dataset_split,data_origin,expected_class,annotation_origin,box_count,audit_status,source_video,source_frame,timestamp_seconds,sha256
aug_0276_mouse_video02_0048.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,0,human_checked_negative,,,,b90ea1bb85d7e64a3beb0c11cf6a65eb9a2fbc7480a3b796ae442cb4519868a0
aug_0277_mouse_video02_0049.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,0,human_checked_negative,,,,c7ae1a0d8935fb9f527e11afa95c1a0920240ea80e0e3a31a6ad0a22e84b08de
aug_0278_mouse_video02_0050.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,0,human_checked_negative,,,,13538fabc5d7ccc436da55fb3b4c2489ba932e9609d0adcebd922751afaf1bb1
mouse_video02_0047.jpg,train,difficult_video_prelabel,mouse,xanylabeling_human_review,0,human_checked_negative,10361a3af5c83e6b700a789fe939466f.mp4,143,4.767,6c2e8f863405fccce458c3534316544cc41bfb97bd2e1ab62f0bfefbda473cbb
mouse_video02_0048.jpg,train,difficult_video_prelabel,mouse,xanylabeling_human_review,0,human_checked_negative,10361a3af5c83e6b700a789fe939466f.mp4,146,4.867,faff4fc1e5f7882fa519f609b1dd1a12beaf724d63873fc193a178ad94cd798f
mouse_video02_0049.jpg,train,difficult_video_prelabel,mouse,xanylabeling_human_review,0,human_checked_negative,10361a3af5c83e6b700a789fe939466f.mp4,149,4.967,cbf85254a86d8e7b6802524c5c3f87969a4e4725e17aeb4edc52644350ef04ae
mouse_video02_0050.jpg,train,difficult_video_prelabel,mouse,xanylabeling_human_review,0,human_checked_negative,10361a3af5c83e6b700a789fe939466f.mp4,153,5.100,baf0bea68af1f0676c961a0eb40daf9b4a835cb5a8697ee67ac8742b0e762861
cup_video01_0034.jpg,not_assigned,difficult_video_excluded_frame,cup,xanylabeling_human_review,0,human_checked_negative,221521bec0b4398a12e7d3921c3ebe6e.mp4,161,5.367,b8417fa10ac25188c2da3e116fa4bef7428cb07e1a71d1bfcbbbe2ee814aaac2
cup_video01_0035.jpg,not_assigned,difficult_video_excluded_frame,cup,xanylabeling_human_review,0,human_checked_negative,221521bec0b4398a12e7d3921c3ebe6e.mp4,166,5.533,249156a928f9498bb494888bad06e6df15a8ae35e200582f774fc6c35ca1f338
neg_monitor_back.jpg,train_candidate,user_captured_hard_negative,none,xanylabeling_human_review,0,human_checked_negative,,,,ff1c5bce70633c9061198a044a8e5487d32bf133318e6db869904be66ae44e4a
neg_monitor_keyboard.jpg,train_candidate,user_captured_hard_negative,none,xanylabeling_human_review,0,human_checked_negative,,,,32db05e3f20c1dcafb2bcdefc59f0a969ade12a088f28be7780dbc699b343569
neg_laptop.jpg,train_candidate,user_captured_hard_negative,none,xanylabeling_human_review,0,human_checked_negative,,,,8fc236a537df46c9035685c6a4603328d43b2ad24f9beaab686fd515da0b58e2
neg_new_monitor_screen.jpg,train_candidate,user_captured_hard_negative,none,human_confirmation,0,human_checked_negative,,,,0f68e654046bdf3340a29691a384301f00ee6762d31025b4f1afdaa78bd74575
hard_robot_mouse.jpg,train_candidate,user_captured_hard_negative,mouse,pending_human_annotation,0,annotation_required,,,,88abb5cd10ffb8f4dd9bed0f4e76bf7ac517fba1ae441cdeb410e732977e94e6
hard_monitor_mouse_cup.jpg,train_candidate,user_captured_hard_negative,mouse,pending_human_annotation,0,annotation_required,,,,2c16e4f922d7f8e610e2f6bfaade1024f598d35fc5a6b50d26b186d5eb3b5923
hard_monitor_pink_mouse.jpg,train_candidate,user_captured_hard_negative,mouse,pending_human_annotation,0,annotation_required,,,,efc6666d64003e49aa5a24c5d4bd1cf0cc0b6a95b86fae2a8e74fc5b3bb85260
hard_keyboard_mouse.jpg,train_candidate,user_captured_hard_negative,mouse,pending_human_annotation,0,annotation_required,,,,a42a3218a49ab477d70c2a18a963d80028243c5dea2fdc3767f275d325ff88cc
hard_foam_mouse.jpg,train_candidate,user_captured_hard_negative,mouse,pending_human_annotation,0,annotation_required,,,,5df6e74b601fd7c9b55d8242727766cae17cfa91c770fcd3522f84a5d5e96657
hard_foam_object_review.jpg,train_candidate,user_captured_hard_negative,mouse,pending_human_annotation,0,annotation_required,,,,e0469efffa1a74a7e8602fe98340b797dbd052812891485f44831b5eb1fb1e9c
